Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Clinton,Trump,Other,Undecided,Pollster URL,Source URL,Partisan,Affiliation,Question Iteration
YouGov/Economist,7/15/16,7/17/16,2016-07-18T21:00:19Z,1056,Registered Voters,Internet,40,37,12,10,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24925,https://today.yougov.com/news/2016/07/18/yougoveconomist-poll-july-15-17-2016/,Nonpartisan,None,1
NBC/SurveyMonkey,7/11/16,7/17/16,2016-07-19T14:15:34Z,9436,Registered Voters,Internet,46,45,,9,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-24929,https://www.scribd.com/document/318637789/NBC-News-SurveyMonkey-Toplines-and-Methodology-7-11-7-17,Nonpartisan,None,1
Monmouth University,7/14/16,7/16/16,2016-07-18T17:00:34Z,805,Registered Voters,Live Phone,43,40,9,10,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24920,http://monmouth.edu/MonmouthPoll_US_071816/,Nonpartisan,None,1
Morning Consult,7/14/16,7/16/16,2016-07-18T11:13:12Z,2002,Registered Voters,Internet,41,39,,20,http://elections.huffingtonpost.com/pollster/polls/morning-consult-24914,https://morningconsult.com/2016/07/18/poll-trump-remains-within-striking-distance-clinton-security-issues-rise/,Nonpartisan,None,1
CNN,7/13/16,7/16/16,2016-07-17T14:00:40Z,872,Registered Voters,Live Phone,49,42,4,5,http://elections.huffingtonpost.com/pollster/polls/cnn-24908,http://i2.cdn.turner.com/cnn/2016/images/06/21/rel7b.-.2016.general.pdf,Nonpartisan,None,1
Franklin Pierce/RKM/Boston Herald,7/12/16,7/16/16,2016-07-18T14:36:39Z,,Likely Voters,Live Phone,44,41,12,3,http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-24916,http://www.bostonherald.com/news/us_politics/2016/07/poll_donald_trump_hillary_clinton_too_close_to_call,Nonpartisan,None,1
ICITIZEN,7/12/16,7/15/16,2016-07-19T22:40:16Z,1000,Registered Voters,Internet,46,41,,13,http://elections.huffingtonpost.com/pollster/polls/icitizen-24935,https://icitizen.com/insights/oregon-poll-results-june-2016/,Nonpartisan,None,1
ABC/Post,7/11/16,7/14/16,2016-07-17T13:30:33Z,816,Registered Voters,Live Phone,47,43,2,8,http://elections.huffingtonpost.com/pollster/polls/abc-post-24904,https://www.washingtonpost.com/politics/clinton-holds-narrow-lead-over-trump-on-eve-of-conventions/2016/07/17/cde98210-4b78-11e6-bdb9-701687974517_story.html?wpisrc=al_alert-politics,Nonpartisan,None,1
Rasmussen,7/12/16,7/13/16,2016-07-14T13:06:54Z,1000,Likely Voters,Automated Phone,37,44,13,6,http://elections.huffingtonpost.com/pollster/polls/rasmussen-24884,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch,Nonpartisan,None,1
NBC/WSJ,7/9/16,7/13/16,2016-07-17T13:24:34Z,,Registered Voters,Live Phone,46,41,,,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-24903,http://www.nbcnews.com/storyline/2016-conventions/poll-clinton-keeps-5-point-lead-over-trump-heading-conventions-n610966,Nonpartisan,None,1
CBS/Times,7/8/16,7/12/16,2016-07-14T12:23:24Z,1358,Registered Voters,Live Phone,40,40,4,15,http://elections.huffingtonpost.com/pollster/polls/cbs-times-24883,http://www.cbsnews.com/news/hillary-clinton-donald-trump-tied-going-into-conventions-cbsnyt-poll/,Nonpartisan,None,1
YouGov/Economist,7/9/16,7/11/16,2016-07-13T15:07:40Z,1049,Registered Voters,Internet,40,37,11,13,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-24874,https://today.yougov.com/news/2016/07/12/yougoveconomist-poll-july-9-11-2016/,Nonpartisan,None,1
AP-GfK (web),7/7/16,7/11/16,2016-07-14T18:49:00Z,837,Registered Voters,Internet,40,36,8,16,http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-24888,http://ap-gfkpoll.com/main/wp-content/uploads/2016/07/July-2016-AP-GfK-Poll-Posted-Topline_Clinton_Trump.pdf,Nonpartisan,None,1
